plan,dist_number,components,contiguous
everslc_wsa,1,1,contiguous
everslc_wsa,10,1,contiguous
everslc_wsa,11,1,contiguous
everslc_wsa,12,1,contiguous
everslc_wsa,13,1,contiguous
everslc_wsa,14,1,contiguous
everslc_wsa,15,1,contiguous
everslc_wsa,16,1,contiguous
everslc_wsa,17,1,contiguous
everslc_wsa,18,1,contiguous
everslc_wsa,19,1,contiguous
everslc_wsa,2,2,noncontiguous
everslc_wsa,20,1,contiguous
everslc_wsa,21,1,contiguous
everslc_wsa,22,1,contiguous
everslc_wsa,23,2,noncontiguous
everslc_wsa,24,4,noncontiguous
everslc_wsa,25,4,noncontiguous
everslc_wsa,26,3,noncontiguous
everslc_wsa,27,7,noncontiguous
everslc_wsa,28,1,contiguous
everslc_wsa,29,1,contiguous
everslc_wsa,3,7,noncontiguous
everslc_wsa,30,1,contiguous
everslc_wsa,31,1,contiguous
everslc_wsa,32,2,noncontiguous
everslc_wsa,33,2,noncontiguous
everslc_wsa,34,1,contiguous
everslc_wsa,35,1,contiguous
everslc_wsa,36,1,contiguous
everslc_wsa,37,4,noncontiguous
everslc_wsa,38,1,contiguous
everslc_wsa,39,1,contiguous
everslc_wsa,4,1,contiguous
everslc_wsa,40,1,contiguous
everslc_wsa,41,1,contiguous
everslc_wsa,42,5,noncontiguous
everslc_wsa,43,10,noncontiguous
everslc_wsa,44,1,contiguous
everslc_wsa,45,1,contiguous
everslc_wsa,46,1,contiguous
everslc_wsa,47,10,noncontiguous
everslc_wsa,48,1,contiguous
everslc_wsa,49,1,contiguous
everslc_wsa,5,6,noncontiguous
everslc_wsa,50,1,contiguous
everslc_wsa,51,1,contiguous
everslc_wsa,52,3,noncontiguous
everslc_wsa,53,2,noncontiguous
everslc_wsa,54,1,contiguous
everslc_wsa,55,1,contiguous
everslc_wsa,56,1,contiguous
everslc_wsa,57,1,contiguous
everslc_wsa,58,1,contiguous
everslc_wsa,59,3,noncontiguous
everslc_wsa,6,2,noncontiguous
everslc_wsa,60,2,noncontiguous
everslc_wsa,61,2,noncontiguous
everslc_wsa,62,1,contiguous
everslc_wsa,63,1,contiguous
everslc_wsa,64,2,noncontiguous
everslc_wsa,65,1,contiguous
everslc_wsa,66,1,contiguous
everslc_wsa,67,3,noncontiguous
everslc_wsa,68,2,noncontiguous
everslc_wsa,69,1,contiguous
everslc_wsa,7,1,contiguous
everslc_wsa,70,1,contiguous
everslc_wsa,71,1,contiguous
everslc_wsa,72,1,contiguous
everslc_wsa,73,1,contiguous
everslc_wsa,74,1,contiguous
everslc_wsa,75,1,contiguous
everslc_wsa,76,1,contiguous
everslc_wsa,77,1,contiguous
everslc_wsa,78,1,contiguous
everslc_wsa,79,32,noncontiguous
everslc_wsa,8,1,contiguous
everslc_wsa,80,4,noncontiguous
everslc_wsa,81,5,noncontiguous
everslc_wsa,82,1,contiguous
everslc_wsa,83,2,noncontiguous
everslc_wsa,84,5,noncontiguous
everslc_wsa,85,1,contiguous
everslc_wsa,86,5,noncontiguous
everslc_wsa,87,2,noncontiguous
everslc_wsa,88,1,contiguous
everslc_wsa,89,1,contiguous
everslc_wsa,9,1,contiguous
everslc_wsa,90,1,contiguous
everslc_wsa,91,1,contiguous
everslc_wsa,92,1,contiguous
everslc_wsa,93,4,noncontiguous
everslc_wsa,94,5,noncontiguous
everslc_wsa,95,4,noncontiguous
everslc_wsa,96,3,noncontiguous
everslc_wsa,97,4,noncontiguous
everslc_wsa,98,1,contiguous
everslc_wsa,99,1,contiguous
everslc_wss,1,7,noncontiguous
everslc_wss,10,1,contiguous
everslc_wss,11,2,noncontiguous
everslc_wss,12,1,contiguous
everslc_wss,13,4,noncontiguous
everslc_wss,14,5,noncontiguous
everslc_wss,15,4,noncontiguous
everslc_wss,16,10,noncontiguous
everslc_wss,17,1,contiguous
everslc_wss,18,1,contiguous
everslc_wss,19,1,contiguous
everslc_wss,2,7,noncontiguous
everslc_wss,20,3,noncontiguous
everslc_wss,21,2,noncontiguous
everslc_wss,22,2,noncontiguous
everslc_wss,23,2,noncontiguous
everslc_wss,24,1,contiguous
everslc_wss,25,1,contiguous
everslc_wss,26,1,contiguous
everslc_wss,27,38,noncontiguous
everslc_wss,28,6,noncontiguous
everslc_wss,29,2,noncontiguous
everslc_wss,3,1,contiguous
everslc_wss,30,1,contiguous
everslc_wss,31,1,contiguous
everslc_wss,32,1,contiguous
everslc_wss,33,4,noncontiguous
everslc_wss,4,1,contiguous
everslc_wss,5,1,contiguous
everslc_wss,6,1,contiguous
everslc_wss,7,1,contiguous
everslc_wss,8,5,noncontiguous
everslc_wss,9,4,noncontiguous
legis_wsa,1,1,contiguous
legis_wsa,10,1,contiguous
legis_wsa,11,1,contiguous
legis_wsa,12,1,contiguous
legis_wsa,13,1,contiguous
legis_wsa,14,1,contiguous
legis_wsa,15,4,noncontiguous
legis_wsa,16,1,contiguous
legis_wsa,17,1,contiguous
legis_wsa,18,1,contiguous
legis_wsa,19,1,contiguous
legis_wsa,2,3,noncontiguous
legis_wsa,20,1,contiguous
legis_wsa,21,1,contiguous
legis_wsa,22,1,contiguous
legis_wsa,23,1,contiguous
legis_wsa,24,3,noncontiguous
legis_wsa,25,4,noncontiguous
legis_wsa,26,3,noncontiguous
legis_wsa,27,10,noncontiguous
legis_wsa,28,4,noncontiguous
legis_wsa,29,6,noncontiguous
legis_wsa,3,3,noncontiguous
legis_wsa,30,10,noncontiguous
legis_wsa,31,2,noncontiguous
legis_wsa,32,2,noncontiguous
legis_wsa,33,2,noncontiguous
legis_wsa,34,1,contiguous
legis_wsa,35,1,contiguous
legis_wsa,36,1,contiguous
legis_wsa,37,2,noncontiguous
legis_wsa,38,1,contiguous
legis_wsa,39,3,noncontiguous
legis_wsa,4,1,contiguous
legis_wsa,40,3,noncontiguous
legis_wsa,41,6,noncontiguous
legis_wsa,42,8,noncontiguous
legis_wsa,43,7,noncontiguous
legis_wsa,44,2,noncontiguous
legis_wsa,45,4,noncontiguous
legis_wsa,46,3,noncontiguous
legis_wsa,47,18,noncontiguous
legis_wsa,48,2,noncontiguous
legis_wsa,49,1,contiguous
legis_wsa,5,4,noncontiguous
legis_wsa,50,1,contiguous
legis_wsa,51,1,contiguous
legis_wsa,52,3,noncontiguous
legis_wsa,53,19,noncontiguous
legis_wsa,54,5,noncontiguous
legis_wsa,55,1,contiguous
legis_wsa,56,1,contiguous
legis_wsa,57,1,contiguous
legis_wsa,58,5,noncontiguous
legis_wsa,59,3,noncontiguous
legis_wsa,6,2,noncontiguous
legis_wsa,60,3,noncontiguous
legis_wsa,61,7,noncontiguous
legis_wsa,62,1,contiguous
legis_wsa,63,2,noncontiguous
legis_wsa,64,1,contiguous
legis_wsa,65,1,contiguous
legis_wsa,66,3,noncontiguous
legis_wsa,67,6,noncontiguous
