plan,max,min,range,pct_deviation,sd,black,hispanic,none
caaron_wsa,60851,58195,2656,4.461428252929645,465.340348863447,6,2,1
caaron_wss,179595,177645,1950,1.0918404986461858,493.8415814568044,2,0,1
everslc_wsa,60117,58996,1121,1.8830049215113447,329.5730811072996,0,2,8
everslc_wss,179710,177572,2138,1.1971051210797667,551.177269647214,0,0,3
legis_wsa,59764,59312,452,0.7592490852124245,129.85300745712703,5,2,2
legis_wss,179118,178092,1026,0.5744760777492239,215.9443101259155,2,0,1
ncaaron_wsa,60583,58263,2320,3.897030702860232,435.8534525698853,6,2,1
ncaaron_wss,179561,177656,1905,1.0666441794466583,455.8791726716165,2,0,1
pmc_wsa,60102,58991,1111,1.8662073753783266,249.89517695231342,2,2,5
pmc_wss,179261,177274,1987,1.1125574722102416,477.5090392607846,1,0,2
