plan,district,perimeter,area,polsby_popper,schwartzberg,reock,convex_hull
evers24_wsa,1,574179.38003681,2380727536.95655,0.09074534900093702,0.3012396869619556,0.1592224556872561,0.5810099927525914
evers24_wsa,10,50770.5644056989,31748960.639658,0.15478019649815541,0.3934211439388527,0.37541249710821134,0.5909679391620807
evers24_wsa,11,42378.2408460807,35184283.058607,0.2461913105825413,0.4961766929054017,0.38050360074797396,0.73111767808864625
evers24_wsa,12,43770.1062014684,50702429.3759592,0.33257027693994434,0.5766890643491901,0.4843920602700677,0.813635566489144
evers24_wsa,13,48537.739168714,66384672.2120483,0.3540940197935015,0.5950579969998737,0.34266132317614056,0.8012639386085395
evers24_wsa,14,30416.0747036751,32006684.6821242,0.43475463724260915,0.6593592626501954,0.46179153027836817,0.854413083778257
evers24_wsa,15,71116.5551431482,125897234.319913,0.31281288300760657,0.5592967754310822,0.2784239348602471,0.7652438869548278
evers24_wsa,16,25789.5129581618,18403352.5021573,0.3477126796509676,0.589671671060233,0.47267917407959464,0.7408988926769517
evers24_wsa,17,28262.6233265146,20969256.6075231,0.32988909345836537,0.5743597247878419,0.3521476623456059,0.7442529361811006
evers24_wsa,18,33073.2345602332,18484560.1943516,0.21235654160678136,0.46082159411943946,0.2680887935430204,0.5677358701334141
evers24_wsa,19,35903.4937294525,16194434.7795236,0.1578709549965282,0.3973297811598423,0.24015855712267478,0.47329326230372376
evers24_wsa,2,220807.608524379,1189421599.64282,0.30656150306168267,0.5536799644755829,0.24085435493041726,0.7619485211236193
evers24_wsa,20,35465.7071914429,35690104.8846905,0.35656641941401435,0.5971318275004394,0.3532630703200827,0.7761687855062503
evers24_wsa,21,55946.7244874984,96721256.0102636,0.3883134752238697,0.6231480363636475,0.45537571245433583,0.7901254810605406
evers24_wsa,22,127933.351266421,320383337.277502,0.24598704295522963,0.4959708085716634,0.2434202289612244,0.6616888833359081
evers24_wsa,23,78482.9605250205,93727045.7233559,0.1912159159372537,0.4372824212534203,0.35649991074569176,0.6482391907910965
evers24_wsa,24,60340.2839683771,131254291.400981,0.4530109256210965,0.6730608632368223,0.5708950670584546,0.9054603194128307
evers24_wsa,25,170086.25827721,545359737.036893,0.23689422910717534,0.48671781260518426,0.23809385673941244,0.5658131612448499
evers24_wsa,26,62776.8259985741,113769611.274699,0.3627750664365388,0.6023081158647448,0.4509857572859103,0.8408855627718279
evers24_wsa,27,218643.212407066,1203009839.08308,0.316232895214993,0.5623458857455906,0.3922483813416931,0.7419172502490626
evers24_wsa,28,244898.334654409,2217721484.67833,0.46467060946605837,0.6816675212052121,0.3605685806554795,0.8050252201307947
