GEOID20,District
550019501001000,40
550019501001001,40
550019501001002,40
550019501001003,40
550019501001004,40
550019501001005,40
550019501001006,40
550019501001007,40
550019501001008,40
550019501001009,40
550019501001010,40
550019501001011,40
550019501001012,40
550019501001013,40
550019501001027,40
550019501001028,40
550019501001029,40
550019501001032,40
550019501001033,40
550019501001034,40
550019501001035,40
550019501001036,40
550019501001037,40
550019501001038,40
550019501001039,40
550019501001040,40
550019501001041,40
550019501001042,40
550019501001043,40
550019501001044,40
550019501001045,40
550019501001046,40
550019501001047,40
550019501001048,40
550019501001049,40
550019501001050,40
550019501001051,40
550019501001052,40
550019501001053,40
550019501001054,40
550019501001055,40
550019501001058,40
550019501001059,40
550019501001060,40
550019501001061,40
550019501001062,40
550019501001063,40
550019501001064,40
550019501001065,40
550019501001066,40
550019501001067,40
550019501001068,40
550019501001069,40
550019501001070,40
550019501001071,40
550019501001072,40
550019501001073,40
550019501001074,40
550019501001075,40
550019501001076,40
550019501001077,40
550019501001078,40
550019501001079,40
550019501001080,40
550019501001081,40
550019501001082,40
550019501001083,40
550019501001084,40
550019501001085,40
550019501001086,40
550019501001087,40
550019501001088,40
550019501001089,40
550019501001090,40
550019501001091,40
550019501001092,40
550019501001104,40
550019501001105,40
550019501001109,40
550019502031000,40
550019502031002,40
550019502032006,40
550019502031001,40
550019502032000,40
550019502032001,40
550019502032002,40
550019502032003,40
550019502032004,40
550019502032005,40
550019502032007,40
550019502032008,40
550019502032009,40
550019502032010,40
550019502032011,40
550019502032012,40
550019502032013,40
550019502032014,40
550019502032015,40
550019502032016,40
550019502032017,40
550019502032018,40
550019502032019,40
550019502032020,40
550019502032021,40
550019502032024,40
550019502032025,40
550019502032027,40
550019502032028,40
550019502032029,40
550019502032030,40
550019502032031,40
550019502032032,40
550019502032040,40
550019502032041,40
550019502032042,40
550019502032043,40
550019502041000,40
550019502041001,40
550019502041002,40
550019502041003,40
550019502041016,40
550019502041017,40
550019502041018,40
550019502041027,40
550019502041019,40
550019502041020,40
550019502041021,40
