GEOID20,District
550999704001012,74
550999704001037,74
550999704001038,74
550999704001039,74
550999704001040,74
550999704001051,74
550999704001052,74
550999704001053,74
550999704001054,74
550999704001055,74
550999704001056,74
550999704001058,74
550999704001059,74
550999704001060,74
550999704001061,74
550999704001062,74
550999704001063,74
550999704001064,74
550999704001065,74
550999704001066,74
550999704001067,74
550999704001068,74
550999704001069,74
550999704001070,74
550999704001071,74
550999704001072,74
550999704001073,74
550999704001074,74
550999704001075,74
550999704001076,74
550999704001082,74
550999704001083,74
550999704001084,74
550999704001085,74
550999704001086,74
550999704001087,74
550999704001088,74
550999704001090,74
550999704001091,74
550999704001092,74
550999704001093,74
550999704001129,74
550999704002017,74
550999704002018,74
550999704002019,74
550999704002020,74
550999704002027,74
550999704002028,74
550999704002029,74
550999704002030,74
550999704002031,74
550999704002032,74
550999704002037,74
550999704002038,74
550999704002039,74
550999704002040,74
550999704002041,74
550999704002042,74
550999704002043,74
550999704002045,74
550999704002046,74
550999704002050,74
550999704002051,74
550999704002052,74
550999704002053,74
550999704002055,74
550999704002057,74
550999704002060,74
550999705002031,74
550999706002022,74
550999706002023,74
550999706002024,74
550999706002026,74
550999706002031,74
550999704001089,74
550999704001094,74
550999704001095,74
550999704001096,74
550999704001113,74
550999704001114,74
550999704001115,74
550999706002032,74
550999706002033,74
550999707002002,74
550999707002003,74
550999707002004,74
550999707002005,74
550999707002006,74
550999707002007,74
550999707002011,74
550999707002012,74
550999707002016,74
550999707002017,74
550999707002018,74
550999707002019,74
550999707002020,74
550999707002021,74
550999707002022,74
550999707002023,74
550999707002027,74
550999707002028,74
550999707002029,74
550999707002030,74
550999707002094,74
550999701003007,74
550999701003008,74
550999701003009,74
550999701003010,74
550999701003089,74
550999701003090,74
550999701003091,74
550999701003092,74
550999701003093,74
550999701003094,74
550999701003095,74
550999701003096,74
550999701003097,74
550999701003098,74
550999701003099,74
550999701003100,74
550999705003000,74
550999705003035,74
550999705003036,74
550999705003037,74
550999705003038,74
550999705003039,74
550999705003040,74
550999705003041,74
550999705003042,74
550999705003047,74
550999705003048,74
550999705003049,74
550999705003050,74
550999705003051,74
550999705003052,74
550999705003053,74
550999705003054,74
550999705003055,74
550999705003056,74
550999705003057,74
550999705003058,74
550999705003059,74
550999705003060,74
550999705003065,74
550999706001000,74
550999706001001,74
550999706002000,74
550999706002001,74
550999706002002,74
550999706002006,74
550999706002007,74
550999706002036,74
550999706002037,74
550999706002038,74
550999706002088,74
550999701003013,74
550999701003014,74
550999701003015,74
550999701003016,74
550999701003017,74
550999701003018,74
550999701003019,74
550999701003020,74
550999701003025,74
550999701003026,74
550999701003073,74
550999701003074,74
550999701003075,74
550999701003088,74
550999701003105,74
550999701003107,74
550999705003001,74
550999705003002,74
550999705003003,74
550999705003004,74
550999705003005,74
550999705003006,74
550999705003007,74
550999705003008,74
550999705003009,74
550999705003010,74
550999705003011,74
550999705003012,74
550999705003013,74
550999705003014,74
550999705003015,74
550999705003016,74
550999705003017,74
550999705003043,74
550999705003044,74
550999705003045,74
550999705003046,74
550999706002008,74
550999706002009,74
550999706002010,74
550999706002027,74
550999706002034,74
550999706002035,74
550999706001090,74
550999706002084,74
550999707001001,74
550999707001002,74
550999707001003,74
550999707001004,74
550999707001005,74
550999707001006,74
550999707001007,74
550999707001010,74
550999707001012,74
550999707001013,74
550999707001014,74
550999707001015,74
550999707001016,74
550999707001017,74
550999707001018,74
550999707001019,74
550999707001020,74
550999707001021,74
550999707001022,74
550999707001023,74
550999707001024,74
550999707001025,74
550999707001026,74
550999707001027,74
550999707001028,74
550999707001029,74
550999707001030,74
550999707001031,74
550999707001032,74
550999707001033,74
550999707001034,74
550999707001035,74
550999707001038,74
550999707001040,74
550999707001041,74
550999707001042,74
550999707001043,74
550999707001045,74
550999707001046,74
550999707001048,74
550999707001049,74
550999707001050,74
550999707001051,74
550999707001052,74
550999707001053,74
550999704002059,74
550999705001030,74
550999705002000,74
550999705002001,74
550999705002002,74
550999705002003,74
550999705002004,74
550999705002005,74
550999705002006,74
550999705002007,74
550999705002009,74
550999705002012,74
550999705002013,74
550999705002016,74
550999705002017,74
550999705002018,74
550999705002019,74
550999705002020,74
550999705002021,74
550999705002022,74
550999705002023,74
550999705002024,74
550999705002025,74
550999705002026,74
550999705002027,74
550999705002028,74
550999705002029,74
550999705002032,74
550999705002033,74
550999705002034,74
550999705002035,74
550999705002036,74
550999705002040,74
550999705002041,74
550999705002042,74
550999705003033,74
550999705003034,74
550999704002004,74
550999704002016,74
550999704002024,74
550999704002033,74
550999704002034,74
550999704002044,74
550999706002025,74
550999701001039,74
550999701001040,74
550999701001041,74
550999701001042,74
550999701001043,74
550999701001050,74
550999701001051,74
550999701001052,74
550999701001062,74
550999701001063,74
550999701001064,74
550999701001065,74
550999701001066,74
550999701001068,74
550999701001069,74
550999701001070,74
550999701001071,74
550999701001076,74
550999701001077,74
550999701001078,74
550999701001080,74
550999701001081,74
550999701001082,74
550999701001083,74
550999701001084,74
550999701001085,74
550999701001086,74
550999701001097,74
550999701001103,74
550999701001106,74
550999701001107,74
550999701001108,74
550999701001109,74
550999701001110,74
550999701001111,74
550999701001113,74
550999701001114,74
550999701001117,74
550999701001118,74
550999701001119,74
550999701001127,74
550999701001129,74
550999701003076,74
550999701003077,74
550999702002014,74
550999702002023,74
550999702002024,74
550999702002025,74
550999702002026,74
550999702002030,74
550999702003033,74
550999704001000,74
550999704001001,74
550999704001002,74
550999701002007,74
550999701002008,74
550999701002009,74
550999701002010,74
550999701002011,74
550999701002012,74
550999701002013,74
550999701002014,74
550999701002015,74
550999701002016,74
550999701002017,74
550999701002018,74
550999701002019,74
550999701002020,74
550999701002021,74
550999701002022,74
550999701002023,74
550999701002024,74
550999701002025,74
550999701002026,74
550999701002027,74
550999701002028,74
550999701002029,74
550999701002030,74
550999701002031,74
550999701002032,74
550999701002033,74
550999701002034,74
550999701002035,74
550999701002038,74
550999701002039,74
550999701002040,74
550999701002041,74
550999701002042,74
550999701002043,74
550999701002044,74
550999701002050,74
550999701002066,74
550999701002068,74
550999701002069,74
550999701002070,74
550999701002071,74
550999701002072,74
550999701002090,74
550999701002091,74
550999701002098,74
550999701002099,74
550999701002123,74
550999701002134,74
550999701002142,74
550999701002148,74
550999702001062,74
550999704001077,74
550999704001078,74
550999704001079,74
550999704001080,74
550999704001081,74
550999704001097,74
550999704001098,74
550999704001099,74
550999704001100,74
550999704001101,74
550999704001102,74
550999704001103,74
550999704001104,74
550999704001105,74
550999704001106,74
550999704001107,74
550999704001108,74
550999704001109,74
550999704001110,74
550999704001111,74
550999704001112,74
550999704001116,74
550999704001117,74
550999704001118,74
550999704001119,74
550999704001120,74
550999704001121,74
550999704001122,74
550999704001123,74
550999704001124,74
550999704001125,74
551351006004000,40
551351006004001,40
551351006004012,40
551351006004024,40
551351006004025,40
551351006004026,40
551351006004027,40
551351006004028,40
551351006004029,40
551351006004030,40
551351006004031,40
551351006004032,40
551351006004033,40
551351006004034,40
551351006004035,40
551351006004061,40
551351006004064,40
551351006004065,40
551351006004066,40
551351006004067,40
551351006004068,40
551351006004077,40
551351006004078,40
551351007001036,40
551351007001047,40
551351007001048,40
551351007001053,40
551351007001054,40
551351007001055,40
551351007001069,40
551351007002078,40
551351007002093,40
551351007002094,40
551351007002097,40
551351007002102,40
551351007002103,40
551351007002104,40
551351007002105,40
551351007002106,40
551351008001039,40
551351008001040,40
551351008001109,40
551351008001110,40
551351008001117,40
550170102002058,68
550170102002059,68
550170102002060,68
550170102002061,68
550170102002065,68
550170102002067,68
550170102002068,68
550170102002069,68
550170102002070,68
550170102002071,68
550170102002074,68
550170102003024,68
550170102003026,68
550170102003027,68
550170102003028,68
550170102004000,68
550170102004001,68
550170102004002,68
550170102004003,68
550170102004004,68
550170102004005,68
550170102004006,68
550170102004007,68
550170102004008,68
550170102004009,68
550170102004010,68
550170102004011,68
550170102004012,68
550170102004013,68
550170102004014,68
550170102004015,68
550170102004016,68
550170102004017,68
550170102004018,68
550170102004019,68
550170102004020,68
550170102004021,68
550170102004022,68
550170102004023,68
550170102004029,68
551270003013001,43
551270003013002,43
551270003013003,43
551270003013004,43
551270003013006,43
551270003013007,43
551270003013008,43
551270003013009,43
551270003013010,43
551270003013011,43
551270003013014,43
551270003013015,43
551270003013016,43
551270003013017,43
551270003013018,43
551270003013021,43
551270003013022,43
551270003013023,43
551270003013024,43
551270003013025,43
551270003013026,43
551270003013027,43
551270003013028,43
551270003013029,43
551270003013030,43
551270003013036,43
551270003013037,43
551270003013039,43
551270003013040,43
551270003013041,43
551270003013042,43
551270003013043,43
551270003013044,43
551270003013045,43
551270003013046,43
551270003013047,43
551270003013048,43
551270003013049,43
551270003013050,43
551270003013051,43
551270003013052,43
551270004002051,43
551270004002053,43
551270004002057,43
551270004002058,43
551270004002060,43
551270004004020,43
551270004004021,43
551270005021028,43
551270005021029,43
551270005021030,43
551270005021034,43
551270005021036,43
551270003013020,43
551270004001005,43
551270004004000,43
551270004004001,43
551270004004002,43
551270004004003,43
551270004004004,43
551270004004005,43
551270004004006,43
551270004004007,43
551270004004008,43
551270004004009,43
551270004004010,43
551270004004011,43
551270004004012,43
551270004004013,43
551270004004014,43
551270004004018,43
551270004004022,43
551270004004023,43
551270004004024,43
551270004004025,43
551270004004026,43
551270004004027,43
551270004004028,43
551270004004029,43
551270004004030,43
551270005021013,43
551270005021015,43
551270005021016,43
551270005021017,43
551270005021018,43
551270005021019,43
551270005021020,43
551270005021021,43
551270005021024,43
551270005022000,43
551270005022001,43
551270005022009,43
551270005022010,43
551270005022011,43
551270005023000,43
551270005023008,43
551270005023009,43
551270005023010,43
551270008011000,31
551270008011001,31
551270008011002,31
551270008011003,31
551270009011000,31
551270009011001,31
551270009011002,31
551270009011003,31
551270009011004,31
551270009011005,31
551270009011006,31
551270009011007,31
551270009011008,31
551270009011009,31
551270009011010,31
551270009011011,31
551270009012023,31
551270009012024,31
551270009012025,31
551270009012026,31
551270009012027,31
551270009012028,31
551270009012029,31
551270009012030,31
551270009012031,31
551270009012032,31
551270009012033,31
551270009012034,31
551270009012035,31
551270009012036,31
551270009013007,31
551270009013009,31
551270009013010,31
551270009013011,31
551270009013012,31
551270009013013,31
551270009013014,31
551270009013015,31
551270009022011,31
551270007021004,32
551270007021005,32
551270007021012,32
551270007021016,32
551270007021017,32
551270007021018,32
551270007021019,32
551270007021020,32
551270007024000,32
551270007024001,32
551270007024002,32
551270007024003,32
551270007024004,32
551270003041023,31
551270003042017,31
551270003042018,31
551270003042031,31
551270003043006,31
551270003043007,31
551270003043008,31
551270003043009,31
551270003043010,31
551270003043011,31
551270003043012,31
551270003043017,31
551270003043018,31
551270003043019,31
551270003043020,31
551270003043023,31
551270003043028,31
551270003043031,31
551270003043033,31
551270003043034,31
551270003043035,31
551270003043036,31
551270003043037,31
551270003043038,31
551270003043039,31
551270003043040,31
551270003043041,31
551270003043042,31
551270003043043,31
551270003043045,31
551270003043046,31
551270003043048,31
551270003043049,31
551270003043050,31
551270003043053,31
551270002011028,33
551270002011029,33
551270002011032,33
551270002012014,33
551270002012015,33
551270002012017,33
551270002012019,33
551270002012020,33
551270002012021,33
551270002012022,33
551270002012023,33
551270002012024,33
551270002012025,33
551270002012026,33
551270002012029,33
551270002013000,33
551270002013001,33
551270002013002,33
551270002013003,33
551270002013004,33
551270002013005,33
551270002013009,33
551270002013010,33
551270002013011,33
551270002021000,33
551270002021001,33
551270006002061,31
551270006002070,31
551270006002073,31
551270006002074,31
551270006003000,31
551270006003001,31
551270006003002,31
551270006003003,31
551270006003004,31
551270006003005,31
551270006003006,31
551270006003007,31
551270006003008,31
551270006003009,31
551270006003010,31
551270006003011,31
551270006003012,31
551270006003013,31
551270006003014,31
551270006003015,31
551270006003016,31
551270006003017,31
551270006003018,31
551270006003019,31
551270006003020,31
551270006003021,31
551270006003022,31
551270006003023,31
551270006003024,31
551270006003025,31
551270006003026,31
551270006003027,31
551270006003030,31
551270006003031,31
551270006003032,31
551270006003033,31
551270006003034,31
551270006003035,31
551270006003036,31
551270006003037,31
551270006003038,31
551270006003040,31
551270006003041,31
551270006003042,31
551270006003048,31
551270006003050,31
551270006004000,31
551270006004001,31
551270006004002,31
551270006004003,31
551270006004004,31
551270006004005,31
551270006004006,31
551270006004007,31
551270006004008,31
551270006004009,31
551270006004010,31
551270006004011,31
551270006004012,31
551270006004013,31
551270006004014,31
551270006004015,31
551270006004016,31
551270006004017,31
551270006004018,31
551270006004019,31
551270006004020,31
551270006004021,31
551270006004022,31
551270006004023,31
551270006004024,31
551270006004025,31
551270006004026,31
551270006004028,31
551270006004030,31
551270006004031,31
551270006004032,31
551270006004033,31
551270006004034,31
551270006004039,31
551270006004068,31
551270001032004,32
551270001032005,32
551270001032006,32
551270001032007,32
551270001032008,32
551270001032015,32
551270001032017,32
551270001032018,32
551270001032019,32
551270001032020,32
551270001032021,32
551270001032022,32
551270001033000,32
551270001033001,32
551270001033004,32
551270001033005,32
551270001033006,32
551270016061059,32
551270016061062,32
551270017011029,32
551270017011030,32
551270017011031,32
551270017011032,32
551270017011033,32
551270017011034,32
551270017011035,32
551270017011044,32
551270017011045,32
551270017011046,32
551270017011047,32
551270017012025,32
551270017012027,32
551270017012028,32
551270017012029,32
551270017012039,32
551270017012040,32
551270017012043,32
551270017013036,32
551270017023000,32
551270017023003,32
551270017023004,32
551270017023008,32
551270017023009,32
551270017023010,32
551270017023011,32
551270017023012,32
551270017023013,32
551270017023014,32
551270017023015,32
551270017023016,32
551270017023017,32
551270017023019,32
551270017023020,32
551270017023021,32
551270017023022,32
551270017023023,32
551270017023024,32
551270017023025,32
551270017023026,32
551270017023027,32
551270017023028,32
551270017023031,32
551270017023033,32
551270017023034,32
551270017023035,32
551270017023038,32
551270017023049,32
551270017023050,32
551270017023051,32
551270017023052,32
551270017023053,32
551270017023054,32
551270017023056,32
551270017024001,32
551270017024004,32
551270017024006,32
551270017024007,32
551270017024008,32
551270017024009,32
551270017024023,32
551270017024024,32
551270017024025,32
551270017024036,32
551270017024037,32
551270017024039,32
551270017024040,32
551270017024048,32
