GEOID20,District
550019501001000,42
550019501001001,42
550019501001002,42
550019501001003,42
550019501001004,42
550019501001005,42
550019501001006,42
550019501001007,42
550019501001008,42
550019501001009,42
550019501001010,42
550019501001011,42
550019501001012,42
550019501001013,42
550019501001027,42
550019501001028,42
550019501001029,42
550019501001032,42
550019501001033,42
550019501001034,42
550019501001035,42
550019501001036,42
550019501001037,42
550019501001038,42
550019501001039,42
550019501001040,42
550019501001041,42
550019501001042,42
550019501001043,42
550019501001044,42
550019501001045,42
550019501001046,42
550019501001047,42
550019501001048,42
550019501001049,42
550019501001050,42
550019501001051,42
550019501001052,42
550019501001053,42
550019501001054,42
550019501001055,42
550019501001058,42
550019501001059,42
550019501001060,42
550019501001061,42
550019501001062,42
550019501001063,42
550019501001064,42
550019501001065,42
550019501001066,42
550019501001067,42
550019501001068,42
550019501001069,42
550019501001070,42
550019501001071,42
550019501001072,42
550019501001073,42
550019501001074,42
550019501001075,42
550019501001076,42
550019501001077,42
550019501001078,42
550019501001079,42
550019501001080,42
550019501001081,42
550019501001082,42
550019501001083,42
550019501001084,42
550019501001085,42
550019501001086,42
550019501001087,42
550019501001088,42
550019501001089,42
550019501001090,42
550019501001091,42
550019501001092,42
550019501001104,42
550019501001105,42
550019501001109,42
550019502031000,42
550019502031002,42
550019502032006,42
550019501001014,42
550019501001015,42
550019501001016,42
550019501001017,42
550019501001018,42
550019501001019,42
550019501001020,42
550019501001021,42
550019501001022,42
550019501001023,42
550019501001024,42
550019501001025,42
550019501001026,42
550019501001030,42
550019501001031,42
550019501001056,42
550019501001057,42
550019501001094,42
550019501001095,42
550019501001096,42
550019501001097,42
550019501001098,42
550019501001103,42
550019501001106,42
550019501001107,42
550019501001108,42
550019501002000,42
550019501002017,42
550019501002018,42
550019501002019,42
550019501002020,42
550019501002021,42
550019501002022,42
550019501002023,42
550019501002024,42
550019501002025,42
550019501004000,42
550019501004004,42
550019501004005,42
550019501001093,42
550019501001100,42
550019501001101,42
550019501001102,42
550019501001110,42
550019501002001,42
550019501002005,42
550019501002006,42
550019501002007,42
550019501002008,42
550019501002009,42
550019501002010,42
550019501002011,42
550019501002012,42
550019501002013,42
550019501001099,42
550019501003000,42
550019501003001,42
550019501003002,42
550019501003003,42
550019501003004,42
550019501003005,42
550019501003006,42
550019501003007,42
550019501003008,42
550019501003009,42
550019501003010,42
550019501003011,42
550019501003012,42
550019501003022,42
550019501004031,42
550019501004032,42
550019501004033,42
550019501004034,42
550019501004035,42
550019501004049,42
550019501002002,42
550019501002003,42
550019501002004,42
550019501002014,42
550019501002015,42
550019501002016,42
550019501003013,42
550019501003014,42
550019501003015,42
550019501003016,42
550019501003017,42
550019501003018,42
550019501003019,42
