GEOID,district
550019501001000,72
550019501001001,72
550019501001002,72
550019501001003,72
550019501001004,72
550019501001005,72
550019501001006,72
550019501001007,72
550019501001008,72
550019501001009,72
550019501001010,72
550019501001011,72
550019501001012,72
550019501001013,72
550019501001014,72
550019501001015,72
550019501001016,72
550019501001017,72
550019501001018,72
550019501001019,72
550019501001020,72
550019501001021,72
550019501001022,72
550019501001023,72
550019501001024,72
550019501001025,72
550019501001026,72
550019501001027,72
550019501001028,72
550019501001029,72
550019501001030,72
550019501001031,72
550019501001032,72
550019501001033,72
550019501001034,72
550019501001035,72
550019501001036,72
550019501001037,72
550019501001038,72
550019501001039,72
550019501001040,72
550019501001041,72
550019501001042,72
550019501001043,72
550019501001044,72
550019501001045,72
550019501001046,72
550019501001047,72
550019501001048,72
550019501001049,72
550019501001050,72
550019501001051,72
550019501001052,72
550019501001053,72
550019501001054,72
550019501001055,72
550019501001056,72
550019501001057,72
550019501001058,72
550019501001059,72
550019501001060,72
550019501001061,72
550019501001062,72
550019501001063,72
550019501001064,72
550019501001065,72
550019501001066,72
550019501001067,72
550019501001068,72
550019501001069,72
550019501001070,72
550019501001071,72
550019501001072,72
550019501001073,72
550019501001074,72
550019501001075,72
550019501001076,72
550019501001077,72
550019501001078,72
550019501001079,72
550019501001080,72
550019501001081,72
550019501001082,72
550019501001083,72
550019501001084,72
550019501001085,72
550019501001086,72
550019501001087,72
550019501001088,72
550019501001089,72
550019501001090,72
550019501001091,72
550019501001092,72
550019501001093,72
550019501001094,72
550019501001095,72
550019501001096,72
550019501001097,72
550019501001098,72
550019501001099,72
550019501001100,72
550019501001101,72
550019501001102,72
550019501001103,72
550019501001104,72
550019501001105,72
550019501001106,72
550019501001107,72
550019501001108,72
550019501001109,72
550019501001110,72
550019501002000,72
550019501002001,72
550019501002002,72
550019501002003,72
550019501002004,72
550019501002005,72
550019501002006,72
550019501002007,72
550019501002008,72
550019501002009,72
550019501002010,72
550019501002011,72
550019501002012,72
550019501002013,72
550019501002014,72
550019501002015,72
550019501002016,72
550019501002017,72
550019501002018,72
550019501002019,72
550019501002020,72
550019501002021,72
550019501002022,72
550019501002023,72
550019501002024,72
550019501002025,72
550019501002026,72
550019501002027,72
550019501002028,72
550019501002029,72
550019501002030,72
550019501002031,72
550019501002032,72
550019501002033,72
550019501002034,72
550019501002035,72
550019501002036,72
550019501002037,72
550019501002038,72
550019501002039,72
550019501003000,72
550019501003001,72
550019501003002,72
550019501003003,72
550019501003004,72
550019501003005,72
550019501003006,72
550019501003007,72
550019501003008,72
550019501003009,72
550019501003010,72
550019501003011,72
550019501003012,72
550019501003013,72
550019501003014,72
550019501003015,72
550019501003016,72
550019501003017,72
550019501003018,72
550019501003019,72
550019501003020,72
550019501003021,72
550019501003022,72
550019501003023,72
550019501003024,72
550019501003025,72
550019501004000,72
550019501004001,72
550019501004002,72
550019501004003,72
550019501004004,72
550019501004005,72
550019501004006,72
550019501004007,72
550019501004008,72
550019501004009,72
550019501004010,72
550019501004011,72
550019501004012,72
550019501004013,72
550019501004014,72
550019501004015,72
550019501004016,72
550019501004017,72
550019501004018,72
550019501004019,72
550019501004020,72
550019501004021,72
550019501004022,72
550019501004023,72
550019501004024,72
550019501004025,72
550019501004026,72
550019501004027,72
550019501004028,72
550019501004029,72
550019501004030,72
550019501004031,72
550019501004032,72
550019501004033,72
550019501004034,72
550019501004035,72
550019501004036,72
550019501004037,72
550019501004038,72
550019501004039,72
550019501004040,72
550019501004041,72
550019501004042,72
550019501004043,72
550019501004044,72
550019501004045,72
550019501004046,72
550019501004047,72
550019501004048,72
550019501004049,72
550019501004050,72
550019501004051,72
550019501004052,72
550019502011000,72
550019502011001,72
550019502011002,72
550019502011003,72
550019502011004,72
550019502011005,72
550019502011006,72
550019502011007,72
550019502011008,72
550019502011009,72
550019502011010,72
550019502011011,72
550019502011012,72
550019502011013,72
550019502011014,72
550019502011015,72
550019502011016,72
550019502011017,72
550019502011018,72
550019502011019,72
550019502011020,72
550019502011021,72
550019502011022,72
550019502011023,72
550019502011024,72
550019502011025,72
550019502011026,72
550019502011027,72
550019502011028,72
550019502011029,72
550019502011030,72
550019502011031,72
550019502011032,72
550019502011033,72
550019502011034,72
550019502011035,72
550019502011036,72
550019502011037,72
550019502011038,72
550019502011039,72
550019502011040,72
550019502011041,72
550019502011042,72
550019502011043,72
550019502011044,72
550019502011045,72
550019502011046,72
550019502011047,72
550019502011048,72
550019502011049,72
550019502011050,72
550019502011051,72
550019502011052,72
550019502011053,72
550019502011054,72
550019502011055,72
550019502011056,72
550019502011057,72
550019502011058,72
550019502011059,72
550019502011060,72
550019502011061,72
