GEOID20,District
550019501001000,14
550019501001001,14
550019501001002,14
550019501001003,14
550019501001004,14
550019501001005,14
550019501001006,14
550019501001007,14
550019501001008,14
550019501001009,14
550019501001010,14
550019501001011,14
550019501001012,14
550019501001013,14
550019501001027,14
550019501001028,14
550019501001029,14
550019501001032,14
550019501001033,14
550019501001034,14
550019501001035,14
550019501001036,14
550019501001037,14
550019501001038,14
550019501001039,14
550019501001040,14
550019501001041,14
550019501001042,14
550019501001043,14
550019501001044,14
550019501001045,14
550019501001046,14
550019501001047,14
550019501001048,14
550019501001049,14
550019501001050,14
550019501001051,14
550019501001052,14
550019501001053,14
550019501001054,14
550019501001055,14
550019501001058,14
550019501001059,14
550019501001060,14
550019501001061,14
550019501001062,14
550019501001063,14
550019501001064,14
550019501001065,14
550019501001066,14
550019501001067,14
550019501001068,14
550019501001069,14
550019501001070,14
550019501001071,14
550019501001072,14
550019501001073,14
550019501001074,14
550019501001075,14
550019501001076,14
550019501001077,14
550019501001078,14
550019501001079,14
550019501001080,14
550019501001081,14
550019501001082,14
550019501001083,14
550019501001084,14
550019501001085,14
550019501001086,14
550019501001087,14
550019501001088,14
550019501001089,14
550019501001090,14
550019501001091,14
550019501001092,14
550019501001104,14
550019501001105,14
550019501001109,14
550019502031000,14
550019502031002,14
550019502032006,14
550019502031001,14
550019502032000,14
550019502032001,14
550019502032002,14
550019502032003,14
550019502032004,14
550019502032005,14
550019502032007,14
550019502032008,14
550019502032009,14
550019502032010,14
550019502032011,14
550019502032012,14
550019502032013,14
550019502032014,14
550019502032015,14
550019502032016,14
550019502032017,14
550019502032018,14
550019502032019,14
550019502032020,14
550019502032021,14
550019502032024,14
550019502032025,14
550019502032027,14
550019502032028,14
550019502032029,14
550019502032030,14
550019502032031,14
550019502032032,14
550019502032040,14
550019502032041,14
550019502032042,14
550019502032043,14
550019502041000,14
550019502041001,14
550019502041002,14
550019502041003,14
550019502041016,14
550019502041017,14
550019502041018,14
550019502041027,14
550019502041019,14
550019502041020,14
550019502041021,14
550019502041022,14
550019502041023,14
550019502041024,14
550019502041025,14
550019502041026,14
550019502041028,14
550019502041029,14
550019502041030,14
550019502041031,14
