BLOCKID,DISTRICT
550619601001011,1
550619601001012,1
550619601002002,1
550619601002015,1
550619601002016,1
550619602001001,1
550619602001002,1
550619602001003,1
550619602001019,1
550619602002000,1
550619602002001,1
550619602002047,1
550619602002048,1
550619602002049,1
550619602002050,1
550619602002060,1
550619602002061,1
550619602002062,1
550619602002063,1
550619602003001,1
550619602003002,1
550619602003003,1
550619602003004,1
550619602003005,1
550619602003006,1
550619602003007,1
550619602003008,1
550619602003009,1
550619602003010,1
550619602003011,1
550619602003012,1
550619602003013,1
550619602003014,1
550619602003015,1
550619602003016,1
550619602003017,1
550619602003018,1
550619602003019,1
550619602003020,1
550619602003021,1
550619602003022,1
550619602003023,1
550619602003024,1
550619602003025,1
550619602003026,1
550619602003027,1
550619602003028,1
550619602003029,1
550619602003030,1
550619602003031,1
550619602003032,1
550619602003033,1
550619602003034,1
550619602003035,1
550619602003036,1
550619602003037,1
550619602003038,1
550619602003039,1
550619602003040,1
550619602003044,1
550619602003045,1
550619602003046,1
550619602003047,1
550619602003048,1
550619602003049,1
550619602003051,1
550619602003052,1
550619602003053,1
550619602003054,1
550619602003055,1
550619602003057,1
550619602003058,1
550619601001000,1
550619601001001,1
550619601001002,1
550619601001003,1
550619601001004,1
550619601001005,1
550619601001006,1
550619601001007,1
550619601001008,1
550619601001009,1
550619601001010,1
550619601001013,1
550619601001014,1
550619601001015,1
550619601001016,1
550619601001017,1
550619601001018,1
550619601001019,1
550619601001020,1
550619601001021,1
550619601001022,1
550619601001023,1
550619601001024,1
550619601001025,1
550619601001026,1
550619601001027,1
550619601001028,1
550619601001029,1
550619601001030,1
550619601001031,1
550619601001032,1
550619601001033,1
550619601001036,1
550619601001037,1
550619601001038,1
550619601001039,1
550619601001040,1
550619601001041,1
550619601001042,1
550619601001043,1
550619601001044,1
550619601001045,1
550619601001046,1
550619601001047,1
550619601001048,1
550619601001049,1
550619601001050,1
550619601001051,1
550619601001052,1
550619601001053,1
550619601001054,1
550619601001055,1
550619601001056,1
550619601001057,1
550619601002000,1
550619601002001,1
550619601002003,1
550619601002004,1
550619601002005,1
550619601002006,1
550619601002007,1
550619601002008,1
550619601002009,1
550619601002010,1
550619601002011,1
550619601002012,1
550619601002013,1
550619601002014,1
550619601002017,1
550619601002018,1
550619601002019,1
550619601002020,1
550619601002021,1
550619601002022,1
550619601002023,1
550619601002024,1
550619601002025,1
550619601002026,1
550619601002027,1
550619601002028,1
550619601002029,1
550619601002030,1
550619601002031,1
550619601002032,1
550619601002033,1
550619601002034,1
550619601002035,1
550619601002036,1
550619601002037,1
550619601003001,1
550619601003003,1
550619601003004,1
550619601003005,1
550619601003006,1
550619601003007,1
550619601003008,1
550619601003009,1
550619601003010,1
550619601003011,1
550619601003012,1
550619601003013,1
550619601003014,1
550619601003015,1
550619601003016,1
550619601003017,1
550619601003018,1
550619601003019,1
550619601003020,1
550619601003021,1
550619601003022,1
550619601003023,1
550619601003024,1
550619601003025,1
550619601003026,1
550619601003027,1
550619601003028,1
550619601003029,1
550619601003030,1
550619601003031,1
550619601003032,1
550619601003033,1
550619601003034,1
550619601003035,1
550619601003036,1
550619601003037,1
550619601003038,1
550619601003039,1
550619602001000,1
550619602003041,1
550619602003042,1
550619602003043,1
550619602003050,1
550619602003056,1
550291004001001,1
550291004001002,1
550291004001003,1
550291004001008,1
550291004001009,1
550291004001012,1
550291004001014,1
550291004001015,1
550291004001016,1
550291004001017,1
550291004001018,1
550291004001019,1
550291004001020,1
550291004001021,1
550291004001022,1
550291004001023,1
550291004001024,1
550291004001025,1
550291004001026,1
550291004001027,1
550291004001028,1
550291004001029,1
550291004001030,1
550291004001031,1
550291004001032,1
550291004001033,1
550291004001034,1
550291004001035,1
550291004001036,1
550291004001037,1
550291004001038,1
550291004001039,1
550291004001040,1
550291004001041,1
550291004001042,1
550291004001043,1
550291004001044,1
550291004001045,1
550291004001046,1
550291004001047,1
550291004001048,1
550291004001051,1
550291004001052,1
550291004001071,1
550291004001072,1
550291004001073,1
550291004001074,1
550291004001075,1
550291004001076,1
550291004001077,1
550291004001078,1
550291004001079,1
550291004001080,1
550291004001084,1
550291004001085,1
550291004001086,1
550291004001087,1
550291004001088,1
550291004001089,1
550291004001090,1
550291004001091,1
550291004001092,1
550291004001093,1
550291004001094,1
550291004001095,1
550291004001096,1
550291004001097,1
550291004001098,1
550291004001099,1
550291004001100,1
550291004001101,1
550291004001102,1
550291004001103,1
550291004001104,1
550291004001105,1
550291004001106,1
550291004001109,1
550291004001110,1
550291004001111,1
550291004001113,1
550291004001114,1
550291004001115,1
550291006001020,1
550291006001021,1
550291006001022,1
550291006001023,1
550291006001024,1
550291006001025,1
550291006001026,1
550291006001030,1
550291006001031,1
550291006001032,1
550291006001033,1
550291006001034,1
550291006001035,1
550291006001036,1
550291006001037,1
550291006001038,1
550291006001039,1
550291006001040,1
550291006001041,1
550291006001042,1
550291006001043,1
550291006001044,1
550291006001045,1
550291006001046,1
550291006001047,1
550291006001048,1
550291006001049,1
550291006001050,1
550291006001051,1
550291006001052,1
550291006001053,1
550291006001054,1
550291006001055,1
550291006001056,1
550291006001063,1
550291006001064,1
550291006001073,1
550291006001074,1
550291006001075,1
550291006001076,1
550291006001077,1
550291006001085,1
550291006001086,1
550291006001087,1
550291006001088,1
550291006001089,1
550291006001090,1
550291006001091,1
550291006001092,1
550291006001094,1
550291006001095,1
550291006001096,1
550291006001097,1
550291006001098,1
550291006001099,1
550291006001100,1
550291006001101,1
550291006001102,1
550291006001103,1
550291006001104,1
550291006001105,1
550291006001106,1
550291006001107,1
550291006001108,1
550291006001109,1
550291006001110,1
550291006001111,1
550291006001112,1
550291006001113,1
550291006001114,1
550291006001115,1
550291006001116,1
550291006001117,1
550291006001118,1
550291006001119,1
550291006001120,1
550291006001126,1
550291006001127,1
550619605001001,1
550619605001005,1
550619605001006,1
550619605001007,1
550619605001008,1
550619605001009,1
550619605001010,1
550619605001013,1
550619605001024,1
550619605001025,1
550619605001026,1
550619605001027,1
550619605001028,1
550619605001029,1
550619605001030,1
550619605001031,1
550619605001032,1
550619605001033,1
550619605001034,1
550619605001035,1
550619605001036,1
550619605001037,1
550619605001038,1
550619605001039,1
550619605001040,1
550619605001041,1
550619605001042,1
550619605001043,1
550619605001044,1
550619605001045,1
550619605001046,1
550619605001047,1
550619605001048,1
550619605001049,1
550619605001050,1
550619605001051,1
550619605001052,1
550619605001053,1
550619605001055,1
550619605001056,1
550619605001057,1
550619605001058,1
550619605001059,1
550619605001060,1
550619605001061,1
550619605001062,1
550619605001063,1
550619605001064,1
550619605001065,1
550619605001066,1
550619605001067,1
550619605001068,1
550619605001069,1
550619605001070,1
550619605003017,1
550619605003018,1
550619605003019,1
550619605003020,1
550619605003021,1
550619605003022,1
550619605003023,1
550619605003024,1
550619605003027,1
550619605003041,1
550619605003042,1
550619605003052,1
550619605003053,1
550619605003054,1
550619605003055,1
550619605003056,1
550619605003057,1
550619605003061,1
550619604023014,1
550619604023017,1
550619604023018,1
550619604023025,1
550619604023026,1
550619604023027,1
550619604023028,1
550619604023029,1
550619604023031,1
550619604023032,1
550619604023033,1
550619604023034,1
550619604023035,1
550619604023037,1
550619604023038,1
550619604023039,1
550619604023040,1
550619604023041,1
550619604023042,1
550619604023043,1
550619604023046,1
550619604023049,1
550619602001021,1
550619602001022,1
550619602001033,1
550619602002065,1
550619604011009,1
550619604011010,1
550619604012000,1
550619604012001,1
550619604012002,1
550619604012003,1
550619604012004,1
550619604012005,1
550619604012006,1
550619604012007,1
550619604012011,1
550619604012012,1
550619604012013,1
550619604012014,1
550619604012015,1
550619604012016,1
550619604012017,1
550619604012018,1
550619604012019,1
550619604012020,1
550619604012021,1
550619604012022,1
550619604012023,1
550619604012024,1
550619604012034,1
550619604012035,1
550619604012037,1
550619604013000,1
550619604013001,1
550619604013002,1
550619604013003,1
550619604013009,1
550619604023000,1
550619604023001,1
550619604023002,1
550619604023003,1
550619604023004,1
550619604023005,1
550619604023006,1
550619604023007,1
550619604023008,1
550619604023009,1
550619604023010,1
550619604023011,1
550619604023012,1
550619604023013,1
550619604023015,1
