plan,district,race,votes
legis_wsa,1,GOVDEM22,14156
legis_wsa,1,GOVREP22,17566
legis_wsa,1,GOVTOT22,32080
legis_wsa,1,USSDEM22,13428
legis_wsa,1,USSREP22,18637
legis_wsa,1,USSTOT22,32117
legis_wsa,1,WAGDEM22,14186
legis_wsa,1,WAGREP22,17713
legis_wsa,1,WAGTOT22,31907
legis_wsa,1,WSTDEM22,12986
legis_wsa,1,WSTREP22,17862
legis_wsa,1,WSTTOT22,31517
legis_wsa,10,GOVDEM22,20914
legis_wsa,10,GOVREP22,3261
legis_wsa,10,GOVTOT22,24357
legis_wsa,10,USSDEM22,20964
legis_wsa,10,USSREP22,3488
legis_wsa,10,USSTOT22,24496
legis_wsa,10,WAGDEM22,20571
legis_wsa,10,WAGREP22,3506
legis_wsa,10,WAGTOT22,24098
legis_wsa,10,WSTDEM22,20018
legis_wsa,10,WSTREP22,3491
legis_wsa,10,WSTTOT22,23758
legis_wsa,11,GOVDEM22,14243
legis_wsa,11,GOVREP22,1636
legis_wsa,11,GOVTOT22,16051
legis_wsa,11,USSDEM22,14510
legis_wsa,11,USSREP22,1735
legis_wsa,11,USSTOT22,16273
legis_wsa,11,WAGDEM22,14055
legis_wsa,11,WAGREP22,1800
legis_wsa,11,WAGTOT22,15882
legis_wsa,11,WSTDEM22,13770
legis_wsa,11,WSTREP22,1661
legis_wsa,11,WSTTOT22,15642
legis_wsa,12,GOVDEM22,14062
legis_wsa,12,GOVREP22,3493
legis_wsa,12,GOVTOT22,17723
legis_wsa,12,USSDEM22,14136
legis_wsa,12,USSREP22,3723
legis_wsa,12,USSTOT22,17890
legis_wsa,12,WAGDEM22,13919
legis_wsa,12,WAGREP22,3689
legis_wsa,12,WAGTOT22,17625
legis_wsa,12,WSTDEM22,13572
legis_wsa,12,WSTREP22,3534
legis_wsa,12,WSTTOT22,17384
legis_wsa,13,GOVDEM22,15921
legis_wsa,13,GOVREP22,17687
legis_wsa,13,GOVTOT22,33862
legis_wsa,13,USSDEM22,15021
legis_wsa,13,USSREP22,18707
legis_wsa,13,USSTOT22,33813
legis_wsa,13,WAGDEM22,15197
legis_wsa,13,WAGREP22,18292
legis_wsa,13,WAGTOT22,33510
legis_wsa,13,WSTDEM22,14087
legis_wsa,13,WSTREP22,18477
legis_wsa,13,WSTTOT22,33007
legis_wsa,14,GOVDEM22,18243
legis_wsa,14,GOVREP22,9982
legis_wsa,14,GOVTOT22,28506
legis_wsa,14,USSDEM22,17792
legis_wsa,14,USSREP22,10614
legis_wsa,14,USSTOT22,28479
legis_wsa,14,WAGDEM22,17785
legis_wsa,14,WAGREP22,10445
legis_wsa,14,WAGTOT22,28246
legis_wsa,14,WSTDEM22,16976
legis_wsa,14,WSTREP22,10403
legis_wsa,14,WSTTOT22,27928
legis_wsa,15,GOVDEM22,13649
legis_wsa,15,GOVREP22,17824
legis_wsa,15,GOVTOT22,31739
legis_wsa,15,USSDEM22,12993
legis_wsa,15,USSREP22,18577
legis_wsa,15,USSTOT22,31648
legis_wsa,15,WAGDEM22,13262
legis_wsa,15,WAGREP22,18076
legis_wsa,15,WAGTOT22,31360
legis_wsa,15,WSTDEM22,12252
legis_wsa,15,WSTREP22,18079
legis_wsa,15,WSTTOT22,30855
legis_wsa,16,GOVDEM22,14240
legis_wsa,16,GOVREP22,1233
legis_wsa,16,GOVTOT22,15627
legis_wsa,16,USSDEM22,14493
legis_wsa,16,USSREP22,1314
legis_wsa,16,USSTOT22,15833
legis_wsa,16,WAGDEM22,13944
legis_wsa,16,WAGREP22,1499
legis_wsa,16,WAGTOT22,15471
legis_wsa,16,WSTDEM22,13611
legis_wsa,16,WSTREP22,1425
legis_wsa,16,WSTTOT22,15257
legis_wsa,17,GOVDEM22,18493
legis_wsa,17,GOVREP22,3108
legis_wsa,17,GOVTOT22,21830
legis_wsa,17,USSDEM22,18708
legis_wsa,17,USSREP22,3270
legis_wsa,17,USSTOT22,22013
legis_wsa,17,WAGDEM22,18285
legis_wsa,17,WAGREP22,3371
legis_wsa,17,WAGTOT22,21693
legis_wsa,17,WSTDEM22,17826
legis_wsa,17,WSTREP22,3233
legis_wsa,17,WSTTOT22,21400
legis_wsa,18,GOVDEM22,16953
legis_wsa,18,GOVREP22,3010
legis_wsa,18,GOVTOT22,20152
legis_wsa,18,USSDEM22,17054
legis_wsa,18,USSREP22,3196
legis_wsa,18,USSTOT22,20293
legis_wsa,18,WAGDEM22,16669
legis_wsa,18,WAGREP22,3295
legis_wsa,18,WAGTOT22,19994
legis_wsa,18,WSTDEM22,16195
legis_wsa,18,WSTREP22,3218
legis_wsa,18,WSTTOT22,19732
legis_wsa,19,GOVDEM22,24084
legis_wsa,19,GOVREP22,4451
legis_wsa,19,GOVTOT22,28760
legis_wsa,19,USSDEM22,24013
legis_wsa,19,USSREP22,4823
